,product,size,quality,battery,design,beam,price
23,B00T7693IS,0.44316666666666665,0.1938421052631579,0.20605555555555555,0.18000000000000002,0.37030769230769234,0.2866666666666667
24,B00T922CFQ,0.2685909090909091,0.2796296296296297,0.18561538461538463,0.18771052631578947,0.3402264150943396,0.28519047619047616
25,B00VCPAJX0,0.27720588235294114,0.2913392857142857,0.25501666666666667,0.20850943396226412,0.3220108695652174,0.31639999999999996
26,B00VVV7W9Y,0.33325000000000005,0.21973333333333336,0.21179166666666668,0.22413043478260872,0.300027027027027,0.2956666666666667
27,B00Y18AF6Q,0.3561333333333333,0.3092083333333333,0.2731363636363636,0.21473076923076923,0.3106486486486487,0.33914285714285713
28,B010ESCLHW,0.3313583333333333,0.31291534391534387,0.1973913043478261,0.218609375,0.3776666666666667,0.2909090909090909
29,B013KE11ZA,0.3143,0.31933333333333336,0.21740000000000004,0.24751724137931036,0.36582608695652175,0.3721176470588236
30,B01418RAZY,0.19599999999999998,0.2856904761904762,0.22771794871794876,0.2088571428571429,0.34933846153846154,0.22923529411764706
31,B017MO9DEK,0.34400000000000003,0.32675000000000004,0.27033333333333337,0.2655,0.35675000000000007,0.40925
32,B017MOG9D8,0.298,0.35860000000000003,0.18475,0.0965,0.39320000000000005,
33,B017OBIY96,0.3975555555555556,0.29224000000000006,0.23707142857142854,0.18436842105263157,0.28810344827586204,0.35038461538461535
34,B0189ITCVC,0.17133333333333334,0.2509090909090909,0.1397222222222222,0.16130769230769232,0.1901764705882353,0.12874999999999998
35,B01B7Z0KAG,0.3845384615384616,0.26666666666666666,0.227,0.16375,0.2559473684210526,0.36675
36,B01CN60WIS,,0.21375,0.09366666666666668,0.256,0.3437272727272727,0.13724999999999998
37,B01CUCBSLU,0.259,0.248,0.2925,0.351,0.15466666666666667,0.21100000000000002
38,B01EN9UPC6,0.296875,0.18366666666666667,0.17799999999999996,0.1395,0.36363636363636365,0.11025
39,B01JGYRBA2,0.2917272727272727,0.3562058823529412,0.2027096774193548,0.20998529411764702,0.37678225806451604,0.3521904761904763
40,B01LYJI0CZ,,,0.2436666666666667,0.375,0.1875,
41,B01MS695TL,0.2055,0.291,,,0.3805,0.236
42,B06XKDKJ1W,0.33899999999999997,0.2005,0.18924999999999997,0.174,0.23419999999999996,0.3555
43,B06XRF2C81,0.16699999999999998,0.24939999999999998,0.1962857142857143,0.2843333333333333,0.3850769230769231,0.2304
44,B06XXLK75C,0.3440727272727273,0.3042577319587629,0.2686635514018692,0.213203125,0.3552060606060606,0.3325
45,B06Y65KLQF,0.2865555555555555,0.28271428571428575,0.22285714285714286,0.1615,0.30470588235294116,0.283
46,B06ZZ65855,0.29364192139737993,0.2811018518518518,0.2547493403693931,0.23179802955665021,0.30192151898734176,0.32105833333333333
47,B071VT7BH6,0.27499999999999997,,0.3055,0.2525,0.2511111111111111,
48,B0733QFSL9,0.41300000000000003,0.36366666666666664,0.1385,0.248,0.3521666666666667,0.259
